date,close,open,ticker
2026-03-13,250.1199951171875,255.47999572753906,AAPL
2026-03-16,252.82000732421875,252.11000061035156,AAPL
2026-03-17,254.22999572753906,252.9600067138672,AAPL
2026-03-18,249.94000244140625,252.6300048828125,AAPL
2026-03-19,248.9600067138672,249.39999389648438,AAPL
2026-03-20,247.99000549316406,247.97999572753906,AAPL
2026-03-23,251.49000549316406,253.97000122070312,AAPL
2026-03-24,251.63999938964844,250.35000610351562,AAPL
2026-03-25,252.6199951171875,254.10000610351562,AAPL
2026-03-26,252.88999938964844,252.1199951171875,AAPL
2026-03-27,248.8000030517578,253.89999389648438,AAPL
2026-03-30,246.6300048828125,250.07000732421875,AAPL
2026-03-31,253.7899932861328,247.91000366210938,AAPL
2026-04-01,255.6300048828125,254.0800018310547,AAPL
2026-04-02,255.9199981689453,254.1999969482422,AAPL
2026-04-06,258.8599853515625,256.510009765625,AAPL
2026-04-07,253.5,256.1600036621094,AAPL
2026-04-08,258.8999938964844,258.45001220703125,AAPL
2026-04-09,260.489990234375,259.0,AAPL
2026-04-10,260.4800109863281,259.9800109863281,AAPL
2026-03-13,391.20001220703125,399.1700134277344,TSLA
2026-03-16,395.55999755859375,396.2200012207031,TSLA
2026-03-17,399.2699890136719,395.69000244140625,TSLA
2026-03-18,392.7799987792969,399.0,TSLA
2026-03-19,380.29998779296875,387.2699890136719,TSLA
2026-03-20,367.9599914550781,379.8500061035156,TSLA
2026-03-23,380.8500061035156,373.0899963378906,TSLA
2026-03-24,383.0299987792969,376.55999755859375,TSLA
2026-03-25,385.95001220703125,389.989990234375,TSLA
2026-03-26,372.1099853515625,381.6000061035156,TSLA
2026-03-27,361.8299865722656,369.69000244140625,TSLA
2026-03-30,355.2799987792969,365.8599853515625,TSLA
2026-03-31,371.75,361.510009765625,TSLA
2026-04-01,381.260009765625,378.6300048828125,TSLA
2026-04-02,360.5899963378906,364.20001220703125,TSLA
2026-04-06,352.82000732421875,362.5899963378906,TSLA
2026-04-07,346.6499938964844,346.44000244140625,TSLA
2026-04-08,343.25,363.7900085449219,TSLA
2026-04-09,345.6199951171875,343.1499938964844,TSLA
2026-04-10,348.95001220703125,346.2900085449219,TSLA
2026-03-13,395.54998779296875,401.0,MSFT
2026-03-16,399.95001220703125,398.07000732421875,MSFT
2026-03-17,399.4100036621094,400.2699890136719,MSFT
2026-03-18,391.7900085449219,397.1300048828125,MSFT
2026-03-19,389.0199890136719,390.1000061035156,MSFT
2026-03-20,381.8699951171875,386.7900085449219,MSFT
2026-03-23,383.0,383.8999938964844,MSFT
2026-03-24,372.739990234375,382.3599853515625,MSFT
2026-03-25,371.0400085449219,376.9200134277344,MSFT
2026-03-26,365.9700012207031,370.82000732421875,MSFT
2026-03-27,356.7699890136719,361.8999938964844,MSFT
2026-03-30,358.9599914550781,361.8999938964844,MSFT
2026-03-31,370.1700134277344,364.54998779296875,MSFT
2026-04-01,369.3699951171875,373.489990234375,MSFT
2026-04-02,373.4599914550781,367.2099914550781,MSFT
2026-04-06,372.8800048828125,373.489990234375,MSFT
2026-04-07,372.2900085449219,370.3399963378906,MSFT
2026-04-08,374.3299865722656,384.9800109863281,MSFT
2026-04-09,373.07000732421875,372.5,MSFT
2026-04-10,370.8699951171875,372.9800109863281,MSFT
