date,company,avg_sentiment,total_headlines,positive,negative,neutral,ticker,close,open,price_change,price_change_pct
2026-04-06,Microsoft,0.25,8,3,1,4,MSFT,372.8800048828125,373.489990234375,-0.6099853515625,-0.16332040148645424
2026-04-07,Microsoft,-0.15,20,2,5,13,MSFT,372.2900085449219,370.3399963378906,1.95001220703125,0.5265464779159578
2026-04-07,Tesla,-0.21052631578947367,19,5,9,5,TSLA,346.6499938964844,346.44000244140625,0.209991455078125,0.06061409005839072
2026-04-08,Apple,0.0,37,8,8,21,AAPL,258.8999938964844,258.45001220703125,0.449981689453125,0.17410782286698728
2026-04-08,Microsoft,0.2727272727272727,22,10,4,8,MSFT,374.3299865722656,384.9800109863281,-10.6500244140625,-2.7663837368534745
2026-04-08,Tesla,-0.37037037037037035,27,4,14,9,TSLA,343.25,363.7900085449219,-20.540008544921875,-5.6461167328584105
2026-04-09,Apple,0.034482758620689655,29,5,4,20,AAPL,260.489990234375,259.0,1.489990234375,0.5752858047779923
2026-04-09,Microsoft,0.1111111111111111,27,10,7,10,MSFT,373.0700073242188,372.5,0.5700073242188068,0.15302210046142464
2026-04-09,Tesla,0.16666666666666666,24,7,3,14,TSLA,345.6199951171875,343.1499938964844,2.470001220703125,0.7198022044692889
2026-04-10,Apple,0.047619047619047616,21,4,3,14,AAPL,260.4800109863281,259.9800109863281,0.5,0.19232247821787118
2026-04-10,Microsoft,0.1111111111111111,18,4,2,12,MSFT,370.8699951171875,372.9800109863281,-2.110015869140625,-0.5657182173277294
2026-04-10,Tesla,-0.15,20,2,5,13,TSLA,348.95001220703125,346.2900085449219,2.660003662109375,0.768143347042111
